Date,Sensor
2022-12-12 17:28:26,27.8
2022-12-12 17:29:26,28.1
2022-12-12 17:30:26,27.7
2022-12-12 17:31:26,27.4
2022-12-12 17:32:26,27.1
2022-12-12 17:33:26,26.9
2022-12-12 17:34:26,26.6
2022-12-12 17:35:26,26.5
2022-12-12 17:36:26,26.3
2022-12-12 17:37:26,26.0
2022-12-12 17:38:26,25.6
2022-12-12 17:39:26,25.5
2022-12-12 17:40:26,25.4
2022-12-12 17:41:26,25.1
2022-12-12 17:42:26,25.0
2022-12-12 17:43:26,24.7
2022-12-12 17:44:26,24.6
2022-12-12 17:45:26,24.6
2022-12-12 17:46:26,24.3
2022-12-12 17:47:26,24.3
2022-12-12 17:48:26,24.2
2022-12-12 17:49:26,24.2
2022-12-12 17:50:26,24.0
2022-12-12 17:51:26,23.9
2022-12-12 17:52:26,23.9
2022-12-12 17:53:26,23.8
2022-12-12 17:54:26,23.7
2022-12-12 17:55:26,23.5
2022-12-12 17:56:26,23.5
2022-12-12 17:57:26,23.3
2022-12-12 17:58:26,23.2
2022-12-12 17:59:26,23.1
2022-12-12 18:00:26,23.0
2022-12-12 18:01:26,23.1
2022-12-12 18:02:26,23.1
2022-12-12 18:03:26,23.2
2022-12-12 18:04:26,23.2
2022-12-12 18:05:26,23.2
2022-12-12 18:06:26,23.2
2022-12-12 18:07:26,23.5
